PURL object,PURL - afbeelding,title,creator,creator wikidata URL
https://collectie.erfgoedbrugge.be/work/id/V-1999-0046,https://collectie.erfgoedbrugge.be/work/reproduction/V-1999-0046,"Beeldje van eikenhout, laat-gotische engel",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0001,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0001,"Beeldje van eikenhout met sporen van polychromie, heilige Barbara",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0002,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0002,"Beeldje van eikenhout, Johannes de doper",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0003,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0003,"Beeldje van hout, gepolychromeerd, Piëta",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0006,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0006,"Beeldje van eikenhout, voorstelling van een bisschop",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0007,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0007,"Beeld van eikenhout, onbekende mannelijke heilige met sporen van polychromie",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0008,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0008,"Reliëf van eikenhout, Onze-Lieve-Vrouw ten hemelopneming","Nijs, Adrianus",
https://collectie.erfgoedbrugge.be/work/id/V-O-0009,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0009,"Reliëf van eikenhout, de boodschap van Maria","Nijs, Adrianus",
https://collectie.erfgoedbrugge.be/work/id/V-O-0010,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0010,"Reliëf van eikenhout, de geboorte van Christus","Nijs, Adrianus",
https://collectie.erfgoedbrugge.be/work/id/V-O-0017,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0017,"Console van eikenhout, menselijke grijnzend hoofd met kaproen gezicht met misvormingen",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0019,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0019,"Beeldje van eikenhout, gepolychromeerd, Heilige Hiëronymus",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0020,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0020,"Beeldje van eikenhout, halfreliëf, Maria met kind",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0024,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0024,"Kop van eikenhout, mannenhoofd",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0025,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0025,"Beeldje van hout, Maria met kind",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0027,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0027,"Beeldje van eikenhout, heilige Johannes evangelist of engel (?)",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0030,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0030,"Beeldje van hout, gepolychromeerd, engel met koorkap en wierookscheepje",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0035,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0035,"Beeldje van eikenhout, lezende Maria met kind",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0036,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0036,"console van eikenhout met voorstelling van een kop (zgn. kraagblok), mogelijk afkomstig uit het Brugse Sint-Juliaanshospitaal",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0040,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0040,"Beeldje van hout, gepolychromeerd, paus",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0041,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0041,"console van eikenhout met voorstelling van een kop (zgn. kraagblok), mogelijk afkomstig uit het Brugse Sint-Juliaanshospitaal",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0042,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0042,"Beeldengroep van eikenhout, gepolychromeerd, de bewening van Christus",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0043,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0043,"Beeldje van eikenhout, Maria Magdalena",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0044,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0044,"Hoogreliëf van hout, Christus aan het kruis",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0045,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0045,"Beeldje van eikenhout, gepolychromeerd, engel met koorkap en doornenkroon",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0046,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0046,"Beeldje van eikenhout, polychromie, Maria met kind",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0048,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0048,"Beeldje van eikenhout, sporen van polychromie, Sint-Catherina van Alexandrië",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0049,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0049,"Hoogreliëf van eikenhout, gepolychromeerd, Christus aan het kruis met de ruiters en heilige Maria Magdalena",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0050,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0050,"Retabelfragment van eikenhout, voorstelling van een ruiterfiguur, mogelijk van een Bourgondische ruiter",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0051,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0051,"Beeldje van eikenhout, gepolychromeerd, mogelijke voorstelling van een kardinaal",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0052,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0052,"Hoogreliëf van eikenhout, de opwekking van Lazarus",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0053,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0053,"Hoogreliëf van eikenhout, het laatste avondmaal",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0054,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0054,"Beeldje van eikenhout, gepolychromeerd, engel met koorkap en wierookscheepje",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0055,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0055,"Retabelfragment van eikenhout, halfreliëf, kalvarie",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0058,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0058,"Ruiterbeeldje van eikenhout, sporen van polychromie, heilige Martinus (Sint-Maarten) met mantel",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0060,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0060,"Balkzool van eikenhout, engel met wapenschild, mogelijk afgesplitste familie van dela Torre",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0061,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0061,"Balkzool van eikenhout, engel met wapenschild met daarin een boom met eekhoorn in zittende houding",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0062,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0062,"Balkzool van eikenhout, heraldische dieren, mogelijk zeepaarden",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0063,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0063,"Balkzool van eikenhout, apostelhoofd van Sint-Bartholomeus",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0064,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0064,"Balkzool van eikenhout, apostelhoofd van Heilige Johannes evangelist",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0065,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0065,"Balkzool van eikenhout, apostelhoofd van de heilige Simon",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0067,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0067,"Balksleutel van eikenhout, wapen van de familie van der Buerze bestaande uit drie beurzen",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0068,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0068,"Balkzool van eikenhout, apostelhoofd van de heilige Andreas",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0076,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0076,"Beeldje van eikenhout, gepolychromeerd, Heilige Antonius",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0077,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0077,"Balkzool van eikenhout, initialen M&M",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0079,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0079,"Beeldje van eikenhout, gepolychromeerd, Johannes de evangelist",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0080,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0080,"Beeldje van eikenhout, gepolychromeerd, Onze-Lieve-Vrouw van Smarten",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0081,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0081,"Beeldje van eikenhout, Johannes de doper",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0082,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0082,"Balkzool van eikenhout, verstrengelde initialen A en I",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0083,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0083,"Balkzool van eikenhout, ongeïdentificeerd wapenschild",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0085,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0085,"Beeldje van eikenhout, gepolychromeerd, Bisschop",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0087,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0087,"Beeldje van eikenhout, engel met koorkap",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0092,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0092,"Beeldje van eikenhout, Sint-Anna-ten-drieën",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0096,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0096,"Beeldje van eikenhout, Heilige Nicolaas (Sinterklaas) met de 3 kinderen in de ton",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0097,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0097,"Beeldje van eikenhout, Sint-Anna-ten-drieën",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0106,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0106,"Beeldje van eikenhout, gepolychromeerd, onze-lieve-vrouw met kind",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0109,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0109,"Beeldje van eikenhout, knielende engel",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0110,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0110,"Balksleutel van eikenhout, Johannes de doper",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0111,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0111,"Retabelfragment van eikenhout, gepolychromeerd, geboortetafereel",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0113,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0113,"Beeldje van eikenhout, gepolychromeerd, Margaretha van Antiochië",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0114,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0114,"Beeldengroep van eikenhout, Visitatie van Maria en Elisabeth",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0115,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0115,"Retabelfragment van eikenhout, gepolychromeerd, geboortetafereel",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0118,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0118,"Beeldje van eikenhout, Maria met kind",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0131,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0131,"Balkzool van eikenhout, profeet met schriftrol uitgerold via de linkerhand",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0132,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0132,"Balkzool van eikenhout, profeet met schriftrol uitgerold via de rechterhand",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0134,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0134,"Reliëf van eikenhout, embleem van Jan III de Baenst",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0142,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0142,"Medaillon van eikenhout, Koning David",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0154,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0154,"Beeldje van hout, lezende Maria","Van Wesel, Adriaen",https://www.wikidata.org/wiki/Q367985
https://collectie.erfgoedbrugge.be/work/id/V-O-0162,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0162,"Halfreliëf van eikenhout, Sint-Sebastiaan",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0163,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0163,"Reliëf van eikenhout, de nederdaling van de Heilige Geest over de apostelen","Nijs, Adrianus",
https://collectie.erfgoedbrugge.be/work/id/V-O-0165,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0165,"Reliëf van eikenhout, de kroning van Maria in de tempel","Nijs, Adrianus",
https://collectie.erfgoedbrugge.be/work/id/V-O-0166,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0166,"Reliëf van eikenhout, hoofd van oude man, vermoedelijk een heilige",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0167,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0167,Medaillon van eikenhout,,
https://collectie.erfgoedbrugge.be/work/id/V-O-0170,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0170,"Hoogreliëf van eikenhout bepleisterd met gips, Sint-Anna ten drieën",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0180,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0180,"Beeldje van hout, gepolychromeerd, Sint-Michiel verslaat de draak",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0186,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0186,Paneel van eikenhout met traceerwerk,,
https://collectie.erfgoedbrugge.be/work/id/V-O-0187,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0187,"Triptiek van eikenhout, gepolychromeerd, reliëf met calvarievoorstelling",,
https://collectie.erfgoedbrugge.be/work/id/V-O-0198,https://collectie.erfgoedbrugge.be/work/reproduction/V-O-0198,"Beeldje van hout, Maria met kind op de maansikkel, gepolychromeerd",,
